CityNumber,City,CountryName,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Continent,Country,Date
0,Hasaki,Japan,35.73,140.83,63,88,75,9.17,Asia,JP,3/22/2019
1,Barrow,Argentina,-38.31,-60.23,54.23,78,44,8.32,South America,AR,3/22/2019
2,Arraial do Cabo,Brazil,-22.97,-42.02,71.6,94,90,16.26,South America,BR,3/21/2019
3,Bulawayo,Zimbabwe,-20.16,28.59,60.62,89,0,4.97,Africa,ZW,3/22/2019
4,Hithadhoo,Maldives,-0.6,73.08,84.56,100,76,5.75,Asia,MV,3/22/2019
5,Jasper,United States of America,33.83,-87.28,63,47,0,8.99,North America,US,3/22/2019
6,Kapaa,United States of America,22.08,-159.32,80.6,57,75,11.41,North America,US,3/22/2019
7,Rikitea,French Polynesia,-23.12,-134.97,79.34,98,0,19.06,Oceania,PF,3/22/2019
8,Okhotsk,Russian Federation,59.36,143.24,13.01,82,68,4.74,Europe,RU,3/22/2019
8,Okhotsk,Russian Federation,59.36,143.24,13.01,82,68,4.74,Asia,RU,3/22/2019
9,Lodja,Congo,-3.52,23.6,75.02,88,48,2.39,Africa,CD,3/22/2019
10,Punta Arenas,Chile,-53.16,-70.91,53.6,71,75,8.05,South America,CL,3/22/2019
11,Nanortalik,Greenland,60.14,-45.24,22.01,100,68,29.91,North America,GL,3/22/2019
12,Ushuaia,Argentina,-54.81,-68.31,46.4,93,75,16.11,South America,AR,3/21/2019
13,Chokurdakh,Russian Federation,70.62,147.9,-16.15,47,12,4.52,Europe,RU,3/22/2019
13,Chokurdakh,Russian Federation,70.62,147.9,-16.15,47,12,4.52,Asia,RU,3/22/2019
14,Ribeira Grande,Portugal,38.52,-28.7,60.89,98,36,10.11,Europe,PT,3/22/2019
15,Bethanien,Namibia,-26.5,17.16,61.07,39,0,4.74,Africa,,3/22/2019
16,Jamestown,Australia,-33.21,138.6,70.34,82,44,4.63,Oceania,AU,3/22/2019
